cve_id,cve_description,cwe_id,cwe_description
CVE-2012-1988,Product allows remote users to execute arbitrary commands by creating a file whose pathname contains shell metacharacters.,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CVE-2013-5211,composite: NTP feature generates large responses (high amplification factor) with spoofed UDP source addresses.,CWE-941,Incorrectly Specified Destination in a Communication Channel
CVE-2004-2259,SIGCHLD signal to FTP server can cause crash under heavy load while executing non-reentrant functions like malloc/free.,CWE-663,Use of a Non-reentrant Function in a Concurrent Context
CVE-2021-40985,"HTML conversion package has a buffer under-read, allowing a crash",CWE-125,Out-of-bounds Read
CVE-2020-20739,"A variable that has its value set in a conditional statement is sometimes used when the conditional fails, sometimes causing data leakage",CWE-909,Missing Initialization of Resource
CVE-2000-0116,Extra < in front of SCRIPT tag bypasses XSS prevention.,CWE-159,Improper Handling of Invalid Use of Special Elements
CVE-2005-3287,"Web-based mail product doesn't restrict dangerous extensions such as ASPX on a web server, even though others are prohibited.",CWE-184,Incomplete List of Disallowed Inputs
CVE-2019-4521,Cloud management product allows arbitrary command execution via CSV injection,CWE-1236,Improper Neutralization of Formula Elements in a CSV File
CVE-2003-0063,Terminal escape sequences not filtered by terminals when displaying files.,CWE-150,"Improper Neutralization of Escape, Meta, or Control Sequences"
CVE-2021-3011,"virtual interrupt controller in a virtualization product allows crash of host by writing a certain invalid value to a register, which triggers a fatal error instead of returning an error code",CWE-670,Always-Incorrect Control Flow Implementation
CVE-2003-0753,Remote attackers can read arbitrary files via a full pathname to the target file in config parameter.,CWE-36,Absolute Path Traversal
CVE-2011-1848,"Use of packet length field to make a calculation, then copy into a fixed-size buffer",CWE-805,Buffer Access with Incorrect Length Value
CVE-2004-0774,Server allows remote attackers to cause a denial of service (CPU and memory exhaustion) via a POST request with a Content-Length header set to -1.,CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2000-0168,"Microsoft Windows 9x operating systems allow an attacker to cause a denial of service via a pathname that includes file device names, aka the DOS Device in Path Name vulnerability.",CWE-67,Improper Handling of Windows Device Names
CVE-2002-0938,XSS in parameter in a link.,CWE-80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)
CVE-2009-3553,"chain: reference count not correctly maintained when client disconnects during a large operation, leading to a use-after-free.",CWE-911,Improper Update of Reference Count
CVE-2000-0315,Traceroute program allows unprivileged users to modify source address of packet (Accessible entities).,CWE-267,Privilege Defined With Unsafe Actions
CVE-2005-1689,Double free resultant from certain error conditions.,CWE-415,Double Free
CVE-2008-1013,"Media library allows deserialization of objects by untrusted Java applets, leading to arbitrary code execution.",CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes
CVE-2008-1284,NUL byte in theme name causes directory traversal impact to be worse,CWE-158,Improper Neutralization of Null Byte or NUL Character
CVE-2004-0270,Anti-virus product has assert error when line length is non-numeric.,CWE-228,Improper Handling of Syntactically Invalid Structure
CVE-2010-1637,Web-based mail program allows internal network scanning using a modified POP3 port number.,CWE-441,Unintended Proxy or Intermediary ('Confused Deputy')
CVE-2005-3106,Race condition leads to deadlock.,CWE-833,Deadlock
CVE-2007-3260,"Product assigns members to the root group, allowing escalation of privileges.",CWE-842,Placement of User into Incorrect Group
CVE-2009-3520,modify password for the administrator,CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2017-5715,"Intel, ARM, and AMD processor optimizations related to speculative execution and branch prediction cause access control checks to be bypassed when placing data into the cache. Often known as Spectre.",CWE-1037,Processor Optimization Removal or Modification of Security-critical Code
CVE-2007-6180,chain: race condition triggers NULL pointer dereference,CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2022-36349,insecure default variable initialization in BIOS firmware for a hardware board allows DoS,CWE-1188,Initialization of a Resource with an Insecure Default
CVE-2002-1145,public database user can use stored procedure to modify data controlled by the database owner (Unsafe privileged actions).,CWE-267,Privilege Defined With Unsafe Actions
CVE-2006-4624,Chain: inject fake log entries with fake timestamps using CRLF injection,CWE-93,Improper Neutralization of CRLF Sequences ('CRLF Injection')
CVE-2005-1674,Perform actions as administrator via a URL or an img tag,CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2022-30317,Distributed Control System (DCS) uses a protocol that has no authentication.,CWE-287,Improper Authentication
CVE-2002-2070,Alternate data streams for NTFS files are not cleared when files are wiped (alternate channel / infoleak).,CWE-459,Incomplete Cleanup
CVE-2021-38759,microcontroller board has default password,CWE-1392,Use of Default Credentials
CVE-2020-15100,"web application scanner attempts to read an excessively large file created by a user, causing process termination",CWE-770,Allocation of Resources Without Limits or Throttling
CVE-2009-3278,"Crypto product uses rand() library function to generate a recovery key, making it easier to conduct brute force attacks.",CWE-338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)
CVE-2005-2496,"Product uses group ID of a user instead of the group, causing it to run with different privileges. This is resultant from some other unknown issue.",CWE-266,Incorrect Privilege Assignment
CVE-2008-3597,Chain: game server can access player data structures before initialization has happened leading to NULL dereference,CWE-476,NULL Pointer Dereference
CVE-1999-0278,"In IIS, remote attackers can obtain source code for ASP files by appending ::$DATA to the URL.",CWE-69,Improper Handling of Windows ::DATA Alternate Data Stream
CVE-2005-3293,Source code disclosure using trailing dot,CWE-42,Path Equivalence: 'filename.' (Trailing Dot)
CVE-2004-2491,"Web browser fills in address bar of clicked-on link before page has been loaded, and doesn't update afterward.",CWE-368,Context Switching Race Condition
CVE-2008-4302,"Chain: OS kernel does not properly handle a failure of a function call (CWE-755), leading to an unlock of a resource that was not locked (CWE-832), with resultant crash.",CWE-755,Improper Handling of Exceptional Conditions
CVE-2010-2076,"Product does not properly reject DTDs in SOAP messages, which allows remote attackers to read arbitrary files, send HTTP requests to intranet servers, or cause a denial of service.",CWE-829,Inclusion of Functionality from Untrusted Control Sphere
CVE-2021-3692,PHP framework uses mt_rand() function (Marsenne Twister) when generating tokens,CWE-1241,Use of Predictable Algorithm in Random Number Generator
CVE-2008-0379,Race condition during initialization triggers a buffer overflow.,CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2012-3527,Use of PHP unserialize function on untrusted input in content management system might allow code execution.,CWE-502,Deserialization of Untrusted Data
CVE-2003-0489,"Program does not fully drop privileges after creating a file descriptor, which allows access to the descriptor via a separate vulnerability.",CWE-403,Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak')
CVE-2005-1864,PHP file inclusion.,CWE-829,Inclusion of Functionality from Untrusted Control Sphere
CVE-2019-12799,chain: bypass of untrusted deserialization issue (CWE-502) by using an assumed-trusted class (CWE-183),CWE-183,Permissive List of Allowed Inputs
CVE-2014-0160,"Chain: Heartbleed bug receives an inconsistent length parameter (CWE-130) enabling an out-of-bounds read (CWE-126), returning memory that could include private cryptographic keys and other sensitive data.",CWE-240,Improper Handling of Inconsistent Structural Elements
CVE-2022-3979,"Chain: data visualization program written in PHP uses the != operator instead of the type-strict !== operator (CWE-480) when validating hash values, potentially leading to an incorrect type conversion (CWE-704)",CWE-480,Use of Incorrect Operator
CVE-2000-0972,"Setuid product allows file reading by replacing a file being edited with a symlink to the targeted file, leaking the result in error messages when parsing fails.",CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2020-12790,Server-Side Template Injection using a Twig template,CWE-1336,Improper Neutralization of Special Elements Used in a Template Engine
CVE-2005-1141,Image with large width and height leads to integer overflow.,CWE-190,Integer Overflow or Wraparound
CVE-2002-0661,"not in denylist for web server, allowing path traversal attacks when the server is run in Windows and other OSes.",CWE-28,Path Traversal: '..filedir'
CVE-2022-39218,"SDK for JavaScript app builder for serverless code uses the same fixed seed for a PRNG, allowing cryptography bypass",CWE-336,Same Seed in Pseudo-Random Number Generator (PRNG)
CVE-2022-25304,"A Python machine communication platform did not account for receiving a malformed packet with a null size, causing the receiving function to never update the message buffer and be caught in an infinite loop.",CWE-835,Loop with Unreachable Exit Condition ('Infinite Loop')
CVE-2001-1248,Source disclosure via trailing encoded space %20,CWE-41,Improper Resolution of Path Equivalence
CVE-2005-2142,Directory traversal vulnerability in FTP server allows remote authenticated attackers to list arbitrary directories via a .. sequence in an LS command.,CWE-29,Path Traversal: '..filename'
CVE-2009-3289,"Library function copies a file to a new target and uses the source file's permissions for the target, which is incorrect when the source file is a symbolic link, which typically has 0777 permissions.",CWE-732,Incorrect Permission Assignment for Critical Resource
CVE-1999-0074,"Listening TCP ports are sequentially allocated, allowing spoofing attacks.",CWE-342,Predictable Exact Value from Previous Values
CVE-2022-0002,"Microarchitectural indirect branch predictors may allow incorrect operations to execute transiently after a misprediction, potentially exposing data over a covert channel.",CWE-1420,Exposure of Sensitive Information during Transient Execution
CVE-2005-4650,"CMS does not restrict the number of searches that can occur simultaneously, leading to resource exhaustion.",CWE-770,Allocation of Resources Without Limits or Throttling
CVE-2018-1000613,Cryptography API uses unsafe reflection when deserializing a private key,CWE-470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection')
CVE-2002-0567,"DB server assumes that local clients have performed authentication, allowing attacker to directly connect to a process to load libraries and execute commands; a socket interface also exists (another alternate channel), so attack can be remote.",CWE-420,Unprotected Alternate Channel
CVE-2009-4137,Use of PHP unserialize function on cookie value allows remote code execution or upload of arbitrary files.,CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes
CVE-2008-1203,"admin interface does not log failed authentication attempts, making it easier for attackers to perform brute force password guessing without being detected",CWE-778,Insufficient Logging
CVE-2002-0760,"Archive extractor decompresses files with world-readable permissions, then later sets permissions to what the archive specified.",CWE-689,Permission Race Condition During Resource Copy
CVE-2012-2055,Source version control product allows modification of trusted key using mass assignment.,CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes
CVE-2009-1099,"Chain: 16-bit counter can be interpreted as a negative value, compared to a 32-bit maximum value, leading to buffer under-write.",CWE-839,Numeric Range Comparison Without Minimum Check
CVE-2009-3553,"disconnect during a large data transfer causes incorrect reference count, leading to use-after-free",CWE-416,Use After Free
CVE-2000-1178,"Text editor follows symbolic links when creating a rescue copy during an abnormal exit, which allows local users to overwrite the files of other users.",CWE-61,UNIX Symbolic Link (Symlink) Following
CVE-2005-3293,Source code disclosure using trailing null.,CWE-158,Improper Neutralization of Null Byte or NUL Character
CVE-2002-0298,"Server allows remote attackers to cause a denial of service via certain HTTP GET requests containing a %2e%2e (encoded dot-dot), several /../ sequences, or several ../ in a URI.",CWE-23,Relative Path Traversal
CVE-2002-2069,Alternate data streams for NTFS files are not cleared when files are wiped (alternate channel / infoleak).,CWE-459,Incomplete Cleanup
CVE-2007-1588,"C++ web server program calls Process::setuid before calling Process::setgid, preventing it from dropping privileges, potentially allowing CGI programs to be called with higher privileges than intended",CWE-696,Incorrect Behavior Order
CVE-2010-4645,Floating point conversion routine cycles back and forth between two different values.,CWE-835,Loop with Unreachable Exit Condition ('Infinite Loop')
CVE-2022-21947,"Desktop manager for Kubernetes and container management binds a service to 0.0.0.0, allowing users on the network to make requests to a dashboard API.",CWE-1327,Binding to an Unrestricted IP Address
CVE-2005-1921,MFV. code injection into PHP eval statement using nested constructs that should not be nested.,CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2009-3547,"Chain: race condition (CWE-362) might allow resource to be released before operating on it, leading to NULL dereference (CWE-476)",CWE-672,Operation on a Resource after Expiration or Release
CVE-2001-1452,DNS server caches glue records received from non-delegated name servers,CWE-346,Origin Validation Error
CVE-2022-25264,CI/CD tool logs environment variables related to passwords add Contribution to content history.,CWE-526,Cleartext Storage of Sensitive Information in an Environment Variable
CVE-2001-1141,"PRNG allows attackers to use the output of small PRNG requests to determine the internal state information, which could be used by attackers to predict future pseudo-random numbers.",CWE-340,Generation of Predictable Numbers or Identifiers
CVE-2018-3825,cloud cluster management product has a default master encryption key,CWE-1391,Use of Weak Credentials
CVE-2008-2108,"Chain: insufficient precision (CWE-1339) in random-number generator causes some zero bits to be reliably generated, reducing the amount of entropy (CWE-331)",CWE-331,Insufficient Entropy
CVE-2005-1841,User's umask is used when creating temp files.,CWE-277,Insecure Inherited Permissions
CVE-2011-0606,Crafted length value in document reader leads to buffer overflow,CWE-805,Buffer Access with Incorrect Length Value
CVE-2001-0912,"Error during packaging causes product to include a hard-coded, non-standard directory in search path.",CWE-427,Uncontrolled Search Path Element
CVE-2008-3663,"A product does not set the secure flag for the session cookie in an https session, which can cause the cookie to be sent in http requests and make it easier for remote attackers to capture this cookie.",CWE-614,Sensitive Cookie in HTTPS Session Without 'Secure' Attribute
CVE-2005-1964,PHP remote file include.,CWE-829,Inclusion of Functionality from Untrusted Control Sphere
CVE-2022-33139,"SCADA system only uses client-side authentication, allowing adversaries to impersonate other users.",CWE-602,Client-Side Enforcement of Server-Side Security
CVE-2001-0520,"Bypass filtering of SCRIPT tags using onload in BODY, href in A, BUTTON, INPUT, and others.",CWE-83,Improper Neutralization of Script in Attributes in a Web Page
CVE-2001-0709,Server allows a remote attacker to obtain source code of ASP files via a URL encoded with Unicode.,CWE-176,Improper Handling of Unicode Encoding
CVE-2004-2331,Database system allows attackers to bypass sandbox restrictions by using the Reflection API.,CWE-470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection')
CVE-2006-5051,"Chain: Signal handler contains too much functionality (CWE-828), introducing a race condition (CWE-362) that leads to a double free (CWE-415).",CWE-666,Operation on Resource in Wrong Phase of Lifetime
CVE-1999-0168,"RPC portmapper could redirect service requests from an attacker to another entity, which thinks the requests came from the portmapper.",CWE-441,Unintended Proxy or Intermediary ('Confused Deputy')
CVE-2004-1670,Mail server allows remote attackers to create arbitrary directories via a .. or rename arbitrary files via a ....// in user supplied parameters.,CWE-23,Relative Path Traversal
CVE-2005-1787,Bypass auth and gain privileges by setting a variable.,CWE-302,Authentication Bypass by Assumed-Immutable Data
CVE-2009-1619,Attacker can bypass authentication and gain admin privileges by setting an admin cookie to 1.,CWE-784,Reliance on Cookies without Validation and Integrity Checking in a Security Decision
CVE-2001-1389,Multiple vulnerabilities related to improper null termination.,CWE-170,Improper Null Termination
CVE-2000-0191,Overlaps fakechild/../realchild,CWE-180,Incorrect Behavior Order: Validate Before Canonicalize
CVE-2022-42467,"A generic database browser interface has a default mode that exposes a web server to the network, allowing queries to the database.",CWE-1188,Initialization of a Resource with an Insecure Default
CVE-2010-3701,"program uses ::alloca() for encoding messages, but large messages trigger segfault",CWE-789,Memory Allocation with Excessive Size Value
CVE-2006-4175,"LDAP server mishandles malformed BER queries, leading to free of uninitialized memory",CWE-824,Access of Uninitialized Pointer
CVE-2002-1796,Does not properly verify signatures for trusted entities.,CWE-347,Improper Verification of Cryptographic Signature
CVE-2005-1949,"Regexp for IP address isn't anchored at the end, allowing appending of shell metacharacters.",CWE-625,Permissive Regular Expression
CVE-2006-6511,regexp in .htaccess file allows access of files whose names contain certain substrings,CWE-625,Permissive Regular Expression
CVE-2002-1913,Path traversal using absolute pathname,CWE-37,Path Traversal: '/absolute/pathname/here'
CVE-2006-2878,"Complex curly syntax inserted into the replacement argument to PHP preg_replace(), which uses the /e modifier",CWE-624,Executable Regular Expression Error
CVE-2007-0164,"steganography products embed password information in the carrier file, which can be extracted from a modified client.",CWE-602,Client-Side Enforcement of Server-Side Security
CVE-2008-1052,Large Content-Length value leads to NULL pointer dereference when malloc fails.,CWE-690,Unchecked Return Value to NULL Pointer Dereference
CVE-2007-0100,client allows server to modify client's configuration and overwrite arbitrary files.,CWE-602,Client-Side Enforcement of Server-Side Security
CVE-2004-1686,Well-placed comment bypasses security warning.,CWE-151,Improper Neutralization of Comment Delimiters
CVE-2017-1000095,sandbox bypass using unsafe methods that are on an allowlist,CWE-183,Permissive List of Allowed Inputs
CVE-2009-1466,password stored in cleartext in a file with insecure permissions,CWE-312,Cleartext Storage of Sensitive Information
[REF-1374],"Chain: JavaScript-based cryptocurrency library can fall back to the insecure Math.random() function instead of reporting a failure (CWE-392), thus reducing the entropy (CWE-332) and leading to generation of non-unique cryptographic keys for Bitcoin wallets (CWE-1391)",CWE-703,Improper Check or Handling of Exceptional Conditions
CVE-2005-0369,large ID in packet used as array index,CWE-1285,"Improper Validation of Specified Index, Position, or Offset in Input"
CVE-2009-3547,"chain: race condition might allow resource to be released before operating on it, leading to NULL dereference",CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2009-2213,Gateway uses default Allow configuration for its authorization settings.,CWE-862,Missing Authorization
CVE-2009-0864,Content management system allows admin privileges by setting a login cookie to OK.,CWE-807,Reliance on Untrusted Inputs in a Security Decision
CVE-2002-1010,Bypass file restrictions using wildcard character.,CWE-155,Improper Neutralization of Wildcards or Matching Symbols
CVE-2008-5410,Improper reference counting leads to failure of cryptographic operations.,CWE-911,Improper Update of Reference Count
CVE-2009-1709,chain: improper reference counting in a garbage collection routine leads to use-after-free,CWE-911,Improper Update of Reference Count
CVE-2022-0708,"Collaboration platform does not clear team emails in a response, allowing leak of email addresses",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2008-4122,Chain: Use of HTTPS cookie without secure flag causes it to be transmitted across unencrypted HTTP.,CWE-319,Cleartext Transmission of Sensitive Information
CVE-1999-1363,Large number of locks on file exhausts the pool and causes crash.,CWE-410,Insufficient Resource Pool
CVE-2001-1483,Enumeration of valid usernames based on inconsistent responses,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2008-2223,SQL injection through an ID that was supposed to be numeric.,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2012-3527,Use of PHP unserialize function on untrusted input in content management system might allow code execution.,CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes
CVE-2009-3939,Driver installs a file with world-writable permissions.,CWE-732,Incorrect Permission Assignment for Critical Resource
CVE-2022-24765,"Windows-based fork of git creates a .git folder in the C: drive, allowing local attackers to create a .git folder with a malicious config file",CWE-427,Uncontrolled Search Path Element
CVE-2000-1133,Bypass directory access restrictions using trailing dot in URL,CWE-41,Improper Resolution of Path Equivalence
CVE-2002-1451,Trailing space (+ in query string) leads to source code disclosure.,CWE-162,Improper Neutralization of Trailing Special Elements
CVE-2011-1551,"Component assigns ownership of sensitive directory tree to a user account, which can be leveraged to perform privileged operations.",CWE-708,Incorrect Ownership Assignment
CVE-2003-0355,"Web browser does not validate Common Name, allowing spoofing of https sites.",CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2006-5525,incomplete denylist allows SQL injection,CWE-20,Improper Input Validation
CVE-2001-0084,Specify arbitrary modules using environment variable.,CWE-454,External Initialization of Trusted Variables or Data Stores
CVE-2008-5180,"Communication product allows memory consumption with a large number of SIP requests, which cause many sessions to be created.",CWE-400,Uncontrolled Resource Consumption
CVE-2021-21290,A Java-based application for a rapid-development framework uses File.createTempFile() to create a random temporary file with insecure default permissions.,CWE-379,Creation of Temporary File in Directory with Insecure Permissions
CVE-2006-6171,"Product sets an incorrect buffer size limit, leading to off-by-two buffer underflow.",CWE-124,Buffer Underwrite ('Buffer Underflow')
CVE-2008-1526,"Router does not use a salt with a hash, making it easier to crack passwords.",CWE-759,Use of a One-Way Hash without a Salt
CVE-2004-0033,Script calls phpinfo(),CWE-213,Exposure of Sensitive Information Due to Incompatible Policies
CVE-2002-1694,Log files opened read/write.,CWE-279,Incorrect Execution-Assigned Permissions
CVE-2006-6931,"Network monitoring system allows remote attackers to cause a denial of service (CPU consumption and detection outage) via crafted network traffic, aka a backtracking attack.",CWE-407,Inefficient Algorithmic Complexity
CVE-2002-0422,Blank Host header triggers resultant infoleak.,CWE-230,Improper Handling of Missing Values
CVE-2008-2374,lack of validation of string length fields allows memory consumption or buffer over-read,CWE-20,Improper Input Validation
CVE-2010-3402,DLL hijacking issue in document editor.,CWE-427,Uncontrolled Search Path Element
CVE-2007-1225,"proxy does not log requests without http:// in the URL, allowing web surfers to access restricted web content without detection",CWE-778,Insufficient Logging
CVE-2004-1852,Product transmits Blowfish encryption key in cleartext.,CWE-311,Missing Encryption of Sensitive Data
CVE-2008-3680,packet with invalid version number leads to NULL pointer dereference,CWE-20,Improper Input Validation
CVE-2005-1697,Direct request leads to infoleak by error.,CWE-425,Direct Request ('Forced Browsing')
CVE-2009-1243,"OS kernel performs an unlock in some incorrect circumstances, leading to panic.",CWE-667,Improper Locking
CVE-2008-6548,"Product does not check the ACL of a page accessed using an include directive, allowing attackers to read unauthorized files.",CWE-862,Missing Authorization
CVE-2000-0860,File upload allows arbitrary file read by setting hidden form variables to match internal variable names.,CWE-473,PHP External Variable Modification
CVE-2019-15894,"fault injection attack bypasses the verification mode, potentially allowing arbitrary code execution.",CWE-1332,Improper Handling of Faults that Lead to Instruction Skips
CVE-2005-1698,Direct request leads to infoleak by error.,CWE-425,Direct Request ('Forced Browsing')
CVE-2001-1009,negative array index as argument to POP LIST command,CWE-129,Improper Validation of Array Index
CVE-2005-2496,"Product uses group ID of a user instead of the group, causing it to run with different privileges. This is resultant from some other unknown issue.",CWE-269,Improper Privilege Management
CVE-2008-0600,kernel does not validate an incoming pointer before dereferencing it,CWE-20,Improper Input Validation
CVE-2006-4692,"Argument injection vulnerability in the Windows Object Packager (packager.exe) in Microsoft Windows XP SP1 and SP2 and Server 2003 SP1 and earlier allows remote user-assisted attackers to execute arbitrary commands via a crafted file with a / (slash) character in the filename of the Command Line property, followed by a valid file extension, which causes the command before the slash to be executed, aka Object Packager Dialogue Spoofing Vulnerability.",CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CVE-2015-4852,Deserialization issue in commonly-used Java library allows remote execution.,CWE-502,Deserialization of Untrusted Data
CVE-2022-3203,"A wireless access point manual specifies that the only method of configuration is via web interface (CWE-1059), but there is an undisclosed telnet server that was activated by default (CWE-912).",CWE-912,Hidden Functionality
CVE-2021-22205,"Chain: backslash followed by a newline can bypass a validation step (CWE-20), leading to eval injection (CWE-95), as exploited in the wild per CISA KEV.",CWE-95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')
CVE-2022-30319,"S-bus functionality in a home automation product performs access control using an IP allowlist, which can be bypassed by a forged IP address.",CWE-290,Authentication Bypass by Spoofing
CVE-2012-2993,"Smartphone device does not verify hostname, allowing spoofing of mail services.",CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2008-4315,"server does not log failed authentication attempts, making it easier for attackers to perform brute force password guessing without being detected",CWE-778,Insufficient Logging
CVE-2007-4786,Product sends passwords in cleartext to a log server.,CWE-311,Missing Encryption of Sensitive Data
CVE-2012-5822,Application uses third-party library that does not validate hostname.,CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2001-0892,Web server allows remote attackers to view sensitive files under the document root (such as .htpasswd) via a GET request with a trailing /.,CWE-49,Path Equivalence: 'filename/' (Trailing Slash)
CVE-2021-22991,"Incorrect URI normalization in application traffic product leads to buffer overflow, as exploited in the wild per CISA KEV.",CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2005-1869,PHP file inclusion.,CWE-98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')
CVE-2000-0127,"GUI configuration tool does not enable a security option when a checkbox is selected, although that option is honored when manually set in the configuration file.",CWE-671,Lack of Administrator Control over Security
CVE-2021-34523,"Mail server does not properly check an access token before executing a Powershell command, as exploited in the wild per CISA KEV.",CWE-287,Improper Authentication
CVE-2002-1981,Roles have access to dangerous procedures (Accessible entities).,CWE-269,Improper Privilege Management
CVE-2002-1025,"Application server allows remote attackers to read JSP source code via an encoded null byte in an HTTP GET request, which causes the server to send the .JSP file unparsed.",CWE-158,Improper Neutralization of Null Byte or NUL Character
CVE-2002-0729,Missing special character (separator) causes crash,CWE-166,Improper Handling of Missing Special Element
CVE-2008-2136,chain: incorrect update of reference count leads to memory leak.,CWE-911,Improper Update of Reference Count
CVE-2008-5038,use-after-free when one thread accessed memory that was freed by another thread,CWE-416,Use After Free
CVE-2009-4013,Software package maintenance program allows overwriting arbitrary files using ../ sequences.,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2003-0327,"Server allows remote attackers to cause a denial of service via a remote password array with an invalid length, which triggers a heap-based buffer overflow.",CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2005-1920,"Permissions on backup file are created with defaults, possibly less secure than original file.",CWE-281,Improper Preservation of Permissions
CVE-2005-3106,Race condition leads to deadlock.,CWE-667,Improper Locking
CVE-2014-0160,"Chain: Heartbleed bug receives an inconsistent length parameter (CWE-130) enabling an out-of-bounds read (CWE-126), returning memory that could include private cryptographic keys and other sensitive data.",CWE-125,Out-of-bounds Read
CVE-2012-5824,"Chat application does not validate hostname, leading to loss of privacy.",CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2009-0152,chat program disables SSL in some circumstances even when the user says to use SSL.,CWE-312,Cleartext Storage of Sensitive Information
CVE-2008-4577,"ACL-based protection mechanism treats negative access rights as if they are positive, allowing bypass of intended restrictions.",CWE-862,Missing Authorization
CVE-2006-6679,"Product relies on the X-Forwarded-For HTTP header for authorization, allowing unintended access by spoofing the header.",CWE-863,Incorrect Authorization
CVE-2001-0330,direct request to .pl file leaves it unparsed,CWE-433,Unparsed Raw Web Content Delivery
CVE-2004-0778,"Version control system allows remote attackers to determine the existence of arbitrary files and directories via the -X command for an alternate history file, which causes different error messages to be returned.",CWE-203,Observable Discrepancy
CVE-2014-8273,"Chain: chipset has a race condition (CWE-362) between when an interrupt handler detects an attempt to write-enable the BIOS (in violation of the lock bit), and when the handler resets the write-enable bit back to 0, allowing attackers to issue BIOS writes during the timing window [REF-1237].",CWE-1233,Security-Sensitive Hardware Controls with Missing Lock Bit Protection
CVE-2000-1179,Router allows remote attackers to read system logs without authentication by directly connecting to the login screen and typing certain control characters.,CWE-288,Authentication Bypass Using an Alternate Path or Channel
CVE-2021-25476,"Digital Rights Management (DRM) capability for mobile platform leaks pointer information, simplifying ASLR bypass",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2004-0174,web server deadlock involving multiple listening connections,CWE-833,Deadlock
CVE-2009-0265,chain: DNS server does not correctly check return value from the OpenSSL EVP_VerifyFinal function allows bypass of validation of the certificate chain.,CWE-295,Improper Certificate Validation
CVE-2012-0584,Improper character restriction in URLs in web browser,CWE-1007,Insufficient Visual Distinction of Homoglyphs Presented to User
CVE-2019-10744,Prototype pollution by setting default values to object attributes recursively.,CWE-1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution')
CVE-2007-5277,The failure of connection attempts in a web browser resets DNS pin restrictions. An attacker can then bypass the same origin policy by rebinding a domain name to a different IP address. This was an attempt to fail functional.,CWE-636,Not Failing Securely ('Failing Open')
CVE-2001-1155,"Chain: product does not properly check the result of a reverse DNS lookup because of operator precedence (CWE-783), allowing bypass of DNS-based access restrictions.",CWE-783,Operator Precedence Logic Error
CVE-2005-2148,"The developer cleanses the $_REQUEST superglobal array, but PHP also populates $_GET, allowing attackers to bypass the protection mechanism and conduct SQL injection attacks against code that uses $_GET.",CWE-637,Unnecessary Complexity in Protection Mechanism (Not Using 'Economy of Mechanism')
CVE-2002-1688,Web browser cross domain problem when user hits back button.,CWE-270,Privilege Context Switching Error
CVE-2007-4277,"Chain: anti-virus product uses weak permissions for a device, leading to resultant buffer overflow in an exposed IOCTL.",CWE-782,Exposed IOCTL with Insufficient Access Control
CVE-2003-1015,MIE. whitespace interpreted differently by mail clients.,CWE-156,Improper Neutralization of Whitespace
CVE-2005-1036,Chain: Bypass of access restrictions due to improper authorization (CWE-862) of a user results from an improperly initialized (CWE-909) I/O permission bitmap,CWE-908,Use of Uninitialized Resource
CVE-2002-0725,"Attacker performs malicious actions on a hard link to a file, obscuring the real target file.",CWE-221,Information Loss or Omission
